Algo,Serie,Ex,n_noeuds,n_arcs,temps,nombre_ext_lin
dynamic,10-4,a,10,4,1351,1984
dynamic,10-4,b,10,4,934,716
dynamic,10-4,c,10,4,985,964
dynamic,10-4,d,10,4,944,784
dynamic,10-4,e,10,4,1327,1773
dynamic,10-4,f,10,4,1429,4190
dynamic,10-4,g,10,4,1159,1954
dynamic,10-4,h,10,4,886,224
dynamic,10-4,i,10,4,1147,560
dynamic,10-4,j,10,4,1025,700
dynamic,10-6,a,10,6,4485,25200
dynamic,10-6,b,10,6,6929,97920
dynamic,10-6,c,10,6,4968,38160
dynamic,10-6,d,10,6,4908,30240
dynamic,10-6,e,10,6,6108,75600
dynamic,10-6,f,10,6,4968,37800
dynamic,10-6,g,10,6,4264,16560
dynamic,10-6,h,10,6,7467,95760
dynamic,10-6,i,10,6,5548,29520
dynamic,10-6,j,10,6,6957,73440
dynamic,10-8,a,10,8,17029,332640
dynamic,10-8,b,10,8,15434,241920
dynamic,10-8,c,10,8,20426,544320
dynamic,10-8,d,10,8,19093,453600
dynamic,10-8,e,10,8,20076,453600
dynamic,10-8,f,10,8,17671,403200
dynamic,10-8,g,10,8,19347,483840
dynamic,10-8,h,10,8,20729,453600
dynamic,10-8,i,10,8,17786,302400
dynamic,10-8,j,10,8,17726,332640
dynamic,14-10,a,14,10,260788,2421619200
dynamic,14-10,b,14,10,258367,2270268000
dynamic,14-10,c,14,10,226933,1452971520
dynamic,14-10,d,14,10,247586,1816214400
dynamic,14-10,e,14,10,229681,1452971520
dynamic,14-10,f,14,10,349871,3995671680
dynamic,14-10,g,14,10,217596,1150269120
dynamic,14-10,h,14,10,231005,1574052480
dynamic,14-10,i,14,10,261382,2421619200
dynamic,14-10,j,14,10,293637,2724321600
dynamic,14-4,a,14,4,2692,62696
dynamic,14-4,b,14,4,3830,476476
dynamic,14-4,c,14,4,2854,86868
dynamic,14-4,d,14,4,2521,42120
dynamic,14-4,e,14,4,2225,59896
dynamic,14-4,f,14,4,3562,216482
dynamic,14-4,g,14,4,3392,298872
dynamic,14-4,h,14,4,3616,204338
dynamic,14-4,i,14,4,4961,1313295
dynamic,14-4,j,14,4,5138,624812
dynamic,14-6,a,14,6,14409,4406248
dynamic,14-6,b,14,6,10245,1595664
dynamic,14-6,c,14,6,18085,13588848
dynamic,14-6,d,14,6,19433,14414400
dynamic,14-6,e,14,6,16494,7316400
dynamic,14-6,f,14,6,27785,55648320
dynamic,14-6,g,14,6,26746,50761620
dynamic,14-6,h,14,6,32979,46546500
dynamic,14-6,i,14,6,23501,27220788
dynamic,14-6,j,14,6,16383,7657944
dynamic,14-8,a,14,8,99689,390810420
dynamic,14-8,b,14,8,70351,224071848
dynamic,14-8,c,14,8,61912,126486360
dynamic,14-8,d,14,8,54822,85044960
dynamic,14-8,e,14,8,52960,52972920
dynamic,14-8,f,14,8,36694,14414400
dynamic,14-8,g,14,8,89774,226017792
dynamic,14-8,h,14,8,81808,183338064
dynamic,14-8,i,14,8,77374,320938800
dynamic,14-8,j,14,8,78444,160095936
dynamic,18-10,a,18,10,560512,705019593600
dynamic,18-10,b,18,10,381927,115867874304
dynamic,18-10,c,18,10,536483,478692789120
dynamic,18-10,d,18,10,543509,863140320000
dynamic,18-10,e,18,10,381515,191681925120
dynamic,18-10,f,18,10,608876,908363937600
dynamic,18-10,g,18,10,459573,606073196160
dynamic,18-10,h,18,10,539382,567668305080
dynamic,18-10,i,18,10,489353,359026862400
