algo,series,letter,n_nodes,n_edges,time,number
dynamic,10-4,a,10,4,1,1984
backtrack,10-4,a,10,4,75,1984
entropy,10-4,a,10,4,0,447
dynamic,10-4,b,10,4,1,716
backtrack,10-4,b,10,4,41,716
entropy,10-4,b,10,4,0,344
dynamic,10-4,c,10,4,1,964
backtrack,10-4,c,10,4,52,964
entropy,10-4,c,10,4,0,447
dynamic,10-4,d,10,4,1,784
backtrack,10-4,d,10,4,32,784
entropy,10-4,d,10,4,0,601
dynamic,10-4,e,10,4,1,1773
backtrack,10-4,e,10,4,69,1773
entropy,10-4,e,10,4,0,447
dynamic,10-4,f,10,4,1,4190
backtrack,10-4,f,10,4,149,4190
entropy,10-4,f,10,4,0,601
dynamic,10-4,g,10,4,1,1954
backtrack,10-4,g,10,4,72,1954
entropy,10-4,g,10,4,0,601
dynamic,10-4,h,10,4,1,224
backtrack,10-4,h,10,4,12,224
entropy,10-4,h,10,4,0,231
dynamic,10-4,i,10,4,1,560
backtrack,10-4,i,10,4,22,560
entropy,10-4,i,10,4,0,894
dynamic,10-4,j,10,4,1,700
backtrack,10-4,j,10,4,48,700
entropy,10-4,j,10,4,0,231
dynamic,10-6,a,10,6,5,25200
backtrack,10-6,a,10,6,731,25200
entropy,10-6,a,10,6,0,3124
dynamic,10-6,b,10,6,8,97920
entropy,10-6,b,10,6,0,4811
dynamic,10-6,c,10,6,6,38160
entropy,10-6,c,10,6,0,3124
dynamic,10-6,d,10,6,5,30240
entropy,10-6,d,10,6,0,3124
dynamic,10-6,e,10,6,7,75600
entropy,10-6,e,10,6,0,4811
dynamic,10-6,f,10,6,6,37800
entropy,10-6,f,10,6,0,3703
dynamic,10-6,g,10,6,4,16560
backtrack,10-6,g,10,6,616,16560
entropy,10-6,g,10,6,0,1788
dynamic,10-6,h,10,6,8,95760
entropy,10-6,h,10,6,0,4811
dynamic,10-6,i,10,6,7,29520
entropy,10-6,i,10,6,0,6250
dynamic,10-6,j,10,6,7,73440
entropy,10-6,j,10,6,0,3703
dynamic,10-8,a,10,8,19,332640
entropy,10-8,a,10,8,0,19245
dynamic,10-8,b,10,8,18,241920
entropy,10-8,b,10,8,0,19245
dynamic,10-8,c,10,8,25,544320
entropy,10-8,c,10,8,0,25000
dynamic,10-8,d,10,8,22,453600
entropy,10-8,d,10,8,0,25000
dynamic,10-8,e,10,8,23,453600
entropy,10-8,e,10,8,0,25000
dynamic,10-8,f,10,8,20,403200
entropy,10-8,f,10,8,0,25000
dynamic,10-8,g,10,8,21,483840
entropy,10-8,g,10,8,0,25000
dynamic,10-8,h,10,8,24,453600
entropy,10-8,h,10,8,0,25000
dynamic,10-8,i,10,8,19,302400
entropy,10-8,i,10,8,0,19245
dynamic,10-8,j,10,8,21,332640
entropy,10-8,j,10,8,0,19245
dynamic,14-10,a,14,10,402,2421619200
entropy,14-10,a,14,10,1,5071709
dynamic,14-10,b,14,10,320,2270268000
entropy,14-10,b,14,10,1,5071709
dynamic,14-10,c,14,10,266,1452971520
entropy,14-10,c,14,10,1,5071709
dynamic,14-10,d,14,10,296,1816214400
entropy,14-10,d,14,10,1,5071709
dynamic,14-10,e,14,10,266,1452971520
entropy,14-10,e,14,10,1,5071709
dynamic,14-10,f,14,10,449,3995671680
entropy,14-10,f,14,10,1,13176688
dynamic,14-10,g,14,10,273,1150269120
entropy,14-10,g,14,10,0,3294172
dynamic,14-10,h,14,10,299,1574052480
entropy,14-10,h,14,10,1,5071709
dynamic,14-10,i,14,10,318,2421619200
entropy,14-10,i,14,10,1,6588344
dynamic,14-10,j,14,10,368,2724321600
entropy,14-10,j,14,10,1,6588344
dynamic,14-4,a,14,4,3,62696
entropy,14-4,a,14,4,0,15250
dynamic,14-4,b,14,4,4,476476
entropy,14-4,b,14,4,0,7625
dynamic,14-4,c,14,4,3,86868
entropy,14-4,c,14,4,0,11177
dynamic,14-4,d,14,4,3,42120
entropy,14-4,d,14,4,0,11177
dynamic,14-4,e,14,4,2,59896
