Algo,Serie,Ex,n_noeuds,n_arcs,temps,nombre_ext_lin
backtrack,10-4,a,10,4,68732,1984
backtrack,10-4,b,10,4,36626,716
backtrack,10-4,c,10,4,39381,964
backtrack,10-4,d,10,4,28038,784
backtrack,10-4,e,10,4,61975,1773
backtrack,10-4,f,10,4,129466,4190
backtrack,10-4,g,10,4,61517,1954
backtrack,10-4,h,10,4,10469,224
backtrack,10-4,i,10,4,19365,560
backtrack,10-4,j,10,4,40536,700
backtrack,10-6,a,10,6,636636,25200
backtrack,10-6,b,10,6,2641542,97920
backtrack,10-6,c,10,6,1163661,38160
backtrack,10-6,d,10,6,824403,30240
backtrack,10-6,e,10,6,2257255,75600
backtrack,10-6,f,10,6,1200232,37800
backtrack,10-6,g,10,6,523968,16560
backtrack,10-6,h,10,6,2422171,95760
backtrack,10-6,i,10,6,722377,29520
backtrack,10-6,j,10,6,1858435,73440
backtrack,10-8,a,10,8,8177386,332640
backtrack,10-8,b,10,8,5305384,241920
backtrack,10-8,c,10,8,12343656,544320
backtrack,10-8,d,10,8,11986881,453600
backtrack,10-8,e,10,8,10012421,453600
backtrack,10-8,f,10,8,11433670,403200
backtrack,10-8,g,10,8,11461387,483840
backtrack,10-8,h,10,8,9985840,453600
backtrack,10-8,i,10,8,7900439,302400
backtrack,10-8,j,10,8,8137052,332640
backtrack,14-4,a,14,4,2114579,62696
backtrack,14-4,b,14,4,18374211,476476
backtrack,14-4,c,14,4,3617952,86868
backtrack,14-4,d,14,4,1622663,42120
backtrack,14-4,e,14,4,2479551,59896
backtrack,14-4,f,14,4,7989711,216482
backtrack,14-4,g,14,4,10798657,298872
backtrack,14-4,h,14,4,11315106,204338
backtrack,14-4,i,14,4,48988869,1313295
backtrack,14-4,j,14,4,23345775,624812
backtrack,14-6,a,14,6,164545114,4406248
backtrack,14-6,b,14,6,63380054,1595664
backtrack,18-4,a,18,4,23414640,427998
backtrack,18-4,d,18,4,160193380,3944424
backtrack,18-4,e,18,4,91501858,2571720
backtrack,18-4,f,18,4,164376459,3663532
backtrack,18-4,g,18,4,141226461,2842662
backtrack,18-4,j,18,4,30361353,726430
backtrack,22-4,c,22,4,8495979,202860
