Algo,Serie,Ex,n_noeuds,n_arcs,temps,nombre_ext_lin
entropy,10-4,a,10,4,283,447
entropy,10-4,b,10,4,274,344
entropy,10-4,c,10,4,299,447
entropy,10-4,d,10,4,322,601
entropy,10-4,e,10,4,283,447
entropy,10-4,f,10,4,306,601
entropy,10-4,g,10,4,297,601
entropy,10-4,h,10,4,271,231
entropy,10-4,i,10,4,305,894
entropy,10-4,j,10,4,262,231
entropy,10-6,a,10,6,335,3124
entropy,10-6,b,10,6,364,4811
entropy,10-6,c,10,6,432,3124
entropy,10-6,d,10,6,334,3124
entropy,10-6,e,10,6,419,4811
entropy,10-6,f,10,6,368,3703
entropy,10-6,g,10,6,321,1788
entropy,10-6,h,10,6,383,4811
entropy,10-6,i,10,6,377,6250
entropy,10-6,j,10,6,400,3703
entropy,10-8,a,10,8,464,19245
entropy,10-8,b,10,8,459,19245
entropy,10-8,c,10,8,490,25000
entropy,10-8,d,10,8,480,25000
entropy,10-8,e,10,8,469,25000
entropy,10-8,f,10,8,465,25000
entropy,10-8,g,10,8,499,25000
entropy,10-8,h,10,8,470,25000
entropy,10-8,i,10,8,445,19245
entropy,10-8,j,10,8,471,19245
entropy,14-10,a,14,10,872,5071709
entropy,14-10,b,14,10,888,5071709
entropy,14-10,c,14,10,872,5071709
entropy,14-10,d,14,10,863,5071709
entropy,14-10,e,14,10,907,5071709
entropy,14-10,f,14,10,1059,13176688
entropy,14-10,g,14,10,889,3294172
entropy,14-10,h,14,10,869,5071709
entropy,14-10,i,14,10,962,6588344
entropy,14-10,j,14,10,941,6588344
entropy,14-4,a,14,4,488,15250
entropy,14-4,b,14,4,505,7625
entropy,14-4,c,14,4,494,11177
entropy,14-4,d,14,4,511,11177
entropy,14-4,e,14,4,553,4365
entropy,14-4,f,14,4,534,15250
entropy,14-4,g,14,4,600,5870
entropy,14-4,h,14,4,599,7625
entropy,14-4,i,14,4,561,12867
entropy,14-4,j,14,4,663,29463
entropy,14-6,a,14,6,555,69840
entropy,14-6,b,14,6,582,58927
entropy,14-6,c,14,6,602,102942
entropy,14-6,d,14,6,591,102942
entropy,14-6,e,14,6,612,181450
entropy,14-6,f,14,6,676,187841
entropy,14-6,g,14,6,698,187841
entropy,14-6,h,14,6,647,316981
entropy,14-6,i,14,6,607,122006
entropy,14-6,j,14,6,655,316981
entropy,14-8,a,14,8,833,2535854
entropy,14-8,b,14,8,726,976050
entropy,14-8,c,14,8,685,633963
entropy,14-8,d,14,8,711,823543
entropy,14-8,e,14,8,701,471423
entropy,14-8,f,14,8,833,1647086
entropy,14-8,g,14,8,792,1952101
entropy,14-8,h,14,8,869,1952101
entropy,14-8,i,14,8,751,976050
entropy,14-8,j,14,8,755,1647086
entropy,18-10,a,18,10,1322,596472862
entropy,18-10,b,18,10,1219,131420698
entropy,18-10,c,18,10,1477,774840977
entropy,18-10,d,18,10,1521,298236431
entropy,18-10,e,18,10,1172,170720495
entropy,18-10,f,18,10,1280,298236431
entropy,18-10,g,18,10,1270,298236431
entropy,18-10,h,18,10,1250,229582512
entropy,18-10,i,18,10,1196,193710244
entropy,18-10,j,18,10,1173,170720495
entropy,18-4,a,18,4,757,247949
entropy,18-4,b,18,4,827,244379
entropy,18-4,c,18,4,766,97374
entropy,18-4,d,18,4,885,1955034
entropy,18-4,e,18,4,800,433149
entropy,18-4,f,18,4,739,69945
entropy,18-4,g,18,4,718,121215
entropy,18-4,h,18,4,787,291246
entropy,18-4,i,18,4,869,409103
entropy,18-4,j,18,4,765,582493
entropy,18-6,a,18,6,890,1580745
entropy,18-6,b,18,6,1047,28697814
entropy,18-6,c,18,6,935,7174453
entropy,18-6,d,18,6,1019,10670030
entropy,18-6,e,18,6,941,5522896
entropy,18-6,f,18,6,928,2125764
entropy,18-6,g,18,6,1055,14348907
entropy,18-6,h,18,6,824,1793613
