algo,series,letter,n_nodes,n_edges,time,number
dynamic,10-4,a,10,4,1351,1984
backtrack,10-4,a,10,4,68732,1984
entropy,10-4,a,10,4,283,447
dynamic,10-4,b,10,4,934,716
backtrack,10-4,b,10,4,36626,716
entropy,10-4,b,10,4,274,344
dynamic,10-4,c,10,4,985,964
backtrack,10-4,c,10,4,39381,964
entropy,10-4,c,10,4,299,447
dynamic,10-4,d,10,4,944,784
backtrack,10-4,d,10,4,28038,784
entropy,10-4,d,10,4,322,601
dynamic,10-4,e,10,4,1327,1773
backtrack,10-4,e,10,4,61975,1773
entropy,10-4,e,10,4,283,447
dynamic,10-4,f,10,4,1429,4190
backtrack,10-4,f,10,4,129466,4190
entropy,10-4,f,10,4,306,601
dynamic,10-4,g,10,4,1159,1954
backtrack,10-4,g,10,4,61517,1954
entropy,10-4,g,10,4,297,601
dynamic,10-4,h,10,4,886,224
backtrack,10-4,h,10,4,10469,224
entropy,10-4,h,10,4,271,231
dynamic,10-4,i,10,4,1147,560
backtrack,10-4,i,10,4,19365,560
entropy,10-4,i,10,4,305,894
dynamic,10-4,j,10,4,1025,700
backtrack,10-4,j,10,4,40536,700
entropy,10-4,j,10,4,262,231
dynamic,10-6,a,10,6,4485,25200
backtrack,10-6,a,10,6,636636,25200
entropy,10-6,a,10,6,335,3124
dynamic,10-6,b,10,6,6929,97920
backtrack,10-6,b,10,6,2641542,97920
entropy,10-6,b,10,6,364,4811
dynamic,10-6,c,10,6,4968,38160
backtrack,10-6,c,10,6,1163661,38160
entropy,10-6,c,10,6,432,3124
dynamic,10-6,d,10,6,4908,30240
backtrack,10-6,d,10,6,824403,30240
entropy,10-6,d,10,6,334,3124
dynamic,10-6,e,10,6,6108,75600
backtrack,10-6,e,10,6,2257255,75600
entropy,10-6,e,10,6,419,4811
dynamic,10-6,f,10,6,4968,37800
backtrack,10-6,f,10,6,1200232,37800
entropy,10-6,f,10,6,368,3703
dynamic,10-6,g,10,6,4264,16560
backtrack,10-6,g,10,6,523968,16560
entropy,10-6,g,10,6,321,1788
dynamic,10-6,h,10,6,7467,95760
backtrack,10-6,h,10,6,2422171,95760
entropy,10-6,h,10,6,383,4811
dynamic,10-6,i,10,6,5548,29520
backtrack,10-6,i,10,6,722377,29520
entropy,10-6,i,10,6,377,6250
dynamic,10-6,j,10,6,6957,73440
backtrack,10-6,j,10,6,1858435,73440
entropy,10-6,j,10,6,400,3703
dynamic,10-8,a,10,8,17029,332640
backtrack,10-8,a,10,8,8177386,332640
entropy,10-8,a,10,8,464,19245
dynamic,10-8,b,10,8,15434,241920
backtrack,10-8,b,10,8,5305384,241920
entropy,10-8,b,10,8,459,19245
dynamic,10-8,c,10,8,20426,544320
backtrack,10-8,c,10,8,12343656,544320
entropy,10-8,c,10,8,490,25000
dynamic,10-8,d,10,8,19093,453600
backtrack,10-8,d,10,8,11986881,453600
entropy,10-8,d,10,8,480,25000
dynamic,10-8,e,10,8,20076,453600
backtrack,10-8,e,10,8,10012421,453600
entropy,10-8,e,10,8,469,25000
dynamic,10-8,f,10,8,17671,403200
backtrack,10-8,f,10,8,11433670,403200
entropy,10-8,f,10,8,465,25000
dynamic,10-8,g,10,8,19347,483840
backtrack,10-8,g,10,8,11461387,483840
entropy,10-8,g,10,8,499,25000
dynamic,10-8,h,10,8,20729,453600
backtrack,10-8,h,10,8,9985840,453600
entropy,10-8,h,10,8,470,25000
dynamic,10-8,i,10,8,17786,302400
backtrack,10-8,i,10,8,7900439,302400
entropy,10-8,i,10,8,445,19245
dynamic,10-8,j,10,8,17726,332640
backtrack,10-8,j,10,8,8137052,332640
entropy,10-8,j,10,8,471,19245
dynamic,14-10,a,14,10,260788,2421619200
entropy,14-10,a,14,10,872,5071709
dynamic,14-10,b,14,10,258367,2270268000
entropy,14-10,b,14,10,888,5071709
dynamic,14-10,c,14,10,226933,1452971520
entropy,14-10,c,14,10,872,5071709
dynamic,14-10,d,14,10,247586,1816214400
entropy,14-10,d,14,10,863,5071709
dynamic,14-10,e,14,10,229681,1452971520
entropy,14-10,e,14,10,907,5071709
dynamic,14-10,f,14,10,349871,3995671680
entropy,14-10,f,14,10,1059,13176688
dynamic,14-10,g,14,10,217596,1150269120
entropy,14-10,g,14,10,889,3294172
dynamic,14-10,h,14,10,231005,1574052480
entropy,14-10,h,14,10,869,5071709
dynamic,14-10,i,14,10,261382,2421619200
entropy,14-10,i,14,10,962,6588344
dynamic,14-10,j,14,10,293637,2724321600
entropy,14-10,j,14,10,941,6588344
dynamic,14-4,a,14,4,2692,62696
backtrack,14-4,a,14,4,2114579,62696
entropy,14-4,a,14,4,488,15250
dynamic,14-4,b,14,4,3830,476476
backtrack,14-4,b,14,4,18374211,476476
entropy,14-4,b,14,4,505,7625
dynamic,14-4,c,14,4,2854,86868
backtrack,14-4,c,14,4,3617952,86868
entropy,14-4,c,14,4,494,11177
dynamic,14-4,d,14,4,2521,42120
backtrack,14-4,d,14,4,1622663,42120
entropy,14-4,d,14,4,511,11177
dynamic,14-4,e,14,4,2225,59896
backtrack,14-4,e,14,4,2479551,59896
entropy,14-4,e,14,4,553,4365
dynamic,14-4,f,14,4,3562,216482
backtrack,14-4,f,14,4,7989711,216482
entropy,14-4,f,14,4,534,15250
dynamic,14-4,g,14,4,3392,298872
backtrack,14-4,g,14,4,10798657,298872
entropy,14-4,g,14,4,600,5870
dynamic,14-4,h,14,4,3616,204338
backtrack,14-4,h,14,4,11315106,204338
entropy,14-4,h,14,4,599,7625
dynamic,14-4,i,14,4,4961,1313295
backtrack,14-4,i,14,4,48988869,1313295
entropy,14-4,i,14,4,561,12867
dynamic,14-4,j,14,4,5138,624812
backtrack,14-4,j,14,4,23345775,624812
entropy,14-4,j,14,4,663,29463
dynamic,14-6,a,14,6,14409,4406248
backtrack,14-6,a,14,6,164545114,4406248
entropy,14-6,a,14,6,555,69840
dynamic,14-6,b,14,6,10245,1595664
backtrack,14-6,b,14,6,63380054,1595664
entropy,14-6,b,14,6,582,58927
dynamic,14-6,c,14,6,18085,13588848
entropy,14-6,c,14,6,602,102942
dynamic,14-6,d,14,6,19433,14414400
entropy,14-6,d,14,6,591,102942
dynamic,14-6,e,14,6,16494,7316400
entropy,14-6,e,14,6,612,181450
dynamic,14-6,f,14,6,27785,55648320
entropy,14-6,f,14,6,676,187841
dynamic,14-6,g,14,6,26746,50761620
entropy,14-6,g,14,6,698,187841
dynamic,14-6,h,14,6,32979,46546500
entropy,14-6,h,14,6,647,316981
dynamic,14-6,i,14,6,23501,27220788
entropy,14-6,i,14,6,607,122006
dynamic,14-6,j,14,6,16383,7657944
entropy,14-6,j,14,6,655,316981
dynamic,14-8,a,14,8,99689,390810420
entropy,14-8,a,14,8,833,2535854
dynamic,14-8,b,14,8,70351,224071848
entropy,14-8,b,14,8,726,976050
dynamic,14-8,c,14,8,61912,126486360
entropy,14-8,c,14,8,685,633963
dynamic,14-8,d,14,8,54822,85044960
entropy,14-8,d,14,8,711,823543
dynamic,14-8,e,14,8,52960,52972920
entropy,14-8,e,14,8,701,471423
dynamic,14-8,f,14,8,36694,14414400
entropy,14-8,f,14,8,833,1647086
dynamic,14-8,g,14,8,89774,226017792
entropy,14-8,g,14,8,792,1952101
dynamic,14-8,h,14,8,81808,183338064
entropy,14-8,h,14,8,869,1952101
dynamic,14-8,i,14,8,77374,320938800
entropy,14-8,i,14,8,751,976050
dynamic,14-8,j,14,8,78444,160095936
entropy,14-8,j,14,8,755,1647086
dynamic,18-10,a,18,10,560512,705019593600
entropy,18-10,a,18,10,1322,596472862
dynamic,18-10,b,18,10,381927,115867874304
entropy,18-10,b,18,10,1219,131420698
dynamic,18-10,c,18,10,536483,478692789120
entropy,18-10,c,18,10,1477,774840977
dynamic,18-10,d,18,10,543509,863140320000
entropy,18-10,d,18,10,1521,298236431
dynamic,18-10,e,18,10,381515,191681925120
entropy,18-10,e,18,10,1172,170720495
dynamic,18-10,f,18,10,608876,908363937600
entropy,18-10,f,18,10,1280,298236431
dynamic,18-10,g,18,10,459573,606073196160
entropy,18-10,g,18,10,1270,298236431
dynamic,18-10,h,18,10,539382,567668305080
entropy,18-10,h,18,10,1250,229582512
dynamic,18-10,i,18,10,489353,359026862400
entropy,18-10,i,18,10,1196,193710244
dynamic,18-10,j,18,10,531324,593570648160
entropy,18-10,j,18,10,1173,170720495
dynamic,18-4,a,18,4,3818,427998
backtrack,18-4,a,18,4,23414640,427998
entropy,18-4,a,18,4,757,247949
dynamic,18-4,b,18,4,7012,16370420
entropy,18-4,b,18,4,827,244379
dynamic,18-4,c,18,4,5769,17471078
entropy,18-4,c,18,4,766,97374
dynamic,18-4,d,18,4,5151,3944424
backtrack,18-4,d,18,4,160193380,3944424
entropy,18-4,d,18,4,885,1955034
dynamic,18-4,e,18,4,4264,2571720
backtrack,18-4,e,18,4,91501858,2571720
entropy,18-4,e,18,4,800,433149
dynamic,18-4,f,18,4,3787,3663532
backtrack,18-4,f,18,4,164376459,3663532
entropy,18-4,f,18,4,739,69945
dynamic,18-4,g,18,4,4482,2842662
backtrack,18-4,g,18,4,141226461,2842662
entropy,18-4,g,18,4,718,121215
dynamic,18-4,h,18,4,4488,4705201
entropy,18-4,h,18,4,787,291246
dynamic,18-4,i,18,4,5511,17149960
entropy,18-4,i,18,4,869,409103
dynamic,18-4,j,18,4,5053,726430
backtrack,18-4,j,18,4,30361353,726430
entropy,18-4,j,18,4,765,582493
dynamic,18-6,a,18,6,13096,229764012
entropy,18-6,a,18,6,890,1580745
dynamic,18-6,b,18,6,26561,312153020
entropy,18-6,b,18,6,1047,28697814
dynamic,18-6,c,18,6,27482,430848372
entropy,18-6,c,18,6,935,7174453
dynamic,18-6,d,18,6,33143,3348322302
entropy,18-6,d,18,6,1019,10670030
dynamic,18-6,e,18,6,24169,703743660
entropy,18-6,e,18,6,941,5522896
dynamic,18-6,f,18,6,13860,164685326
entropy,18-6,f,18,6,928,2125764
dynamic,18-6,g,18,6,22535,251090685
entropy,18-6,g,18,6,1055,14348907
dynamic,18-6,h,18,6,11660,35678604
entropy,18-6,h,18,6,824,1793613
dynamic,18-6,i,18,6,20233,1068066576
entropy,18-6,i,18,6,1049,12645962
dynamic,18-6,j,18,6,30493,1521364158
entropy,18-6,j,18,6,977,3465194
dynamic,18-8,a,18,8,117060,24747615360
entropy,18-8,a,18,8,1016,21340061
dynamic,18-8,b,18,8,241769,234984391488
entropy,18-8,b,18,8,1164,57395627
dynamic,18-8,c,18,8,147904,78110343360
entropy,18-8,c,18,8,1161,57395627
dynamic,18-8,d,18,8,80683,8633999304
entropy,18-8,d,18,8,938,14348907
dynamic,18-8,e,18,8,171468,102115039338
entropy,18-8,e,18,8,1146,48427561
dynamic,18-8,f,18,8,101160,16228051812
entropy,18-8,f,18,8,997,21340061
dynamic,18-8,g,18,8,168488,63006862374
entropy,18-8,g,18,8,1126,85360247
dynamic,18-8,h,18,8,99797,18730568448
entropy,18-8,h,18,8,1041,27721553
dynamic,18-8,i,18,8,123052,22096649664
entropy,18-8,i,18,8,1173,96855122
dynamic,18-8,j,18,8,160964,56174898528
entropy,18-8,j,18,8,1113,37279553
dynamic,22-10,a,22,10,986438,470276713621792
entropy,22-10,a,22,10,1904,54908256610
dynamic,22-10,b,22,10,963526,103914528928056
entropy,22-10,b,22,10,1777,31431320142
dynamic,22-10,c,22,10,1144772,377763237985716
entropy,22-10,c,22,10,1728,15715660071
dynamic,22-10,d,22,10,716380,48788319215662
entropy,22-10,d,22,10,1836,11923742514
dynamic,22-10,e,22,10,638111,72863352543960
entropy,22-10,e,22,10,1752,17992337525
dynamic,22-10,f,22,10,1081266,180741345933856
entropy,22-10,f,22,10,1864,31431320142
dynamic,22-10,g,22,10,521310,39170789316120
entropy,22-10,g,22,10,1691,16269113069
dynamic,22-10,h,22,10,500823,18895538135232
entropy,22-10,h,22,10,1929,40242630988
dynamic,22-10,i,22,10,1016574,213268530871890
entropy,22-10,i,22,10,1806,32538226139
dynamic,22-10,j,22,10,541488,84382922522646
entropy,22-10,j,22,10,1694,7857830035
dynamic,22-4,a,22,4,4301,4354368
entropy,22-4,a,22,4,1127,5206116
dynamic,22-4,b,22,4,6292,61053356
entropy,22-4,b,22,4,1144,20116044
dynamic,22-4,c,22,4,3714,202860
